task,controller,eval_strength,seed,state_fidelity,avg_gate_fidelity,pulse_energy,segments,horizon_steps,objective_mean,horizon_iterations,successful_steps,design_seconds
H,finite_process_seed,0.08,17,0.9294531414592719,0.9528251725295785,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,18,0.946866601323428,0.9628370487325446,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,19,0.976977240954231,0.9767982890749177,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,20,0.8672513611581347,0.9074117538919596,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,21,0.7701685197030423,0.8455353853206645,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,22,0.8328649045070134,0.8880755892542416,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,23,0.9918808005490061,0.994119905676938,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,24,0.8458032800766946,0.8971816026847219,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,25,0.7450528903195736,0.829946254145745,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,26,0.9822058053137779,0.9868057844480096,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,27,0.9101036007926333,0.9391490870363602,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,28,0.958164141223178,0.9709064351247795,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,29,0.9015329829215347,0.9335088001990671,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,30,0.9072296357437308,0.9377828521887097,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,31,0.858301217341924,0.903259380133331,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,32,0.9950274669191632,0.9945877723769918,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,33,0.8845205778103136,0.9210465229732864,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,34,0.7968201133126573,0.8640353334567207,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,35,0.9126905561005628,0.9383311449040367,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,36,0.9491179732239606,0.9660142370422898,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,37,0.7667995231015278,0.8439761548142819,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,38,0.9865082456519412,0.9910053974168728,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,39,0.9327027208599408,0.9492078765618316,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,40,0.890045550752838,0.9260734475846908,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,41,0.9885812804311213,0.9902459863775768,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,42,0.9157155164287408,0.9411452328493196,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,43,0.8345848910279066,0.8876480969800777,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,44,0.9818345183018579,0.9878871626050371,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,45,0.9936461239751511,0.9945682193087618,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,46,0.9668718924985866,0.9708737371219565,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,47,0.6461500794140453,0.7640941037480916,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,48,0.9991735926279531,0.9908342193998011,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,49,0.9936003243219371,0.9898710105979825,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,50,0.8637076760836492,0.9077374650632647,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
H,finite_process_seed,0.08,51,0.9941625364584209,0.9952968548422164,0.9916666666666667,60,4,0.0,0,60,22.571469680871814
